address;city;floor;id;latitude;longitude;price;rooms;sq;year
Nowa Huta Czy¿yny ul. So³tysowska;Kraków;3.0;22542.0;500.605.887;200.240.353;535200.0;3.0;55.75;2022.0
Nowa Huta Czy¿yny;Kraków;2.0;27385.0;500.816.349;20.016.490.706.002.100;295000.0;2.0;27.0;2019.0
Mokotów ul. Bia³ego Dêbu 1;Warszawa;2.0;7769.0;52.183.924;21.042.562;1469300.0;4.0;91.63;2021.0
Dêbniki Ruczaj dr. Jana Piltza;Kraków;4.0;20156.0;500.076.191;198.888.826;352644.0;2.0;35.27;2021.0
Je¿yce ul. œw. Wawrzyñca 11;Poznañ;4.0;5045.0;524.201.252;168.956.979;551561.1;3.0;68.01;2022.0
Praga-Pó³noc;Warszawa;2.0;16301.0;522.648.843;210.273.442;380000.0;1.0;30.0;1960.0
Podgórze Walerego S³awka;Kraków;1.0;24572.0;500.242.313;19.959.569;749000.0;4.0;88.73;2020.0
W³ochy Stare W³ochy Czereœniowa;Warszawa;2.0;16788.0;522.319.581;210.067.249;920000.0;3.0;81.0;2008.0
Stare Miasto Centrum;Poznañ;3.0;1840.0;523.601.021;16.849.834.118.146.600;390000.0;1.0;40.0;2020.0
Podgórze ul. dr. Jana Piltza;Kraków;2.0;20700.0;500.076.191;198.888.826;660000.0;3.0;67.21;2021.0
Mokotów MARINA ul. Rajska;Warszawa;1.0;6310.0;521.923.474;209.893.179;1404000.0;5.0;108.36;2007.0
Stare Miasto Naramowice ul. Czarnucha;Poznañ;0.0;1028.0;524.499.763;169.527.562;442105.2;4.0;64.92;2022.0
Dêbniki Ruczaj;Kraków;1.0;22470.0;500.230.156;199.083.637;994220.0;5.0;139.0;2022.0
Grzegórzki ul. Fabryczna;Kraków;4.0;19901.0;50.058.444;199.702.351;518665.0;1.0;35.77;2021.0
Ursynów K³obucka;Warszawa;3.0;13985.0;521.599.734;20.990.916.185.264.200;810000.0;3.0;69.78;2015.0
Targówek;Warszawa;5.0;14311.0;522.751.918;210.580.854;480000.0;2.0;50.7;1989.0
Nowa Huta Czy¿yny os. Z³otej Jesieni;Kraków;2.0;20578.0;500.921.707;200.255.051;335000.0;1.0;38.0;1976.0
Wola Odolany;Warszawa;10.0;12407.0;522.143.854;209.478.636;959373.0;3.0;74.37;2021.0
Targówek Bródno Piotra Wysockiego;Warszawa;9.0;11312.0;522.900.258;210.300.729;315000.0;1.0;30.5;1974.0
Praga-Po³udnie ul. £ukowska 31;Warszawa;7.0;11032.0;5.223.792.595;21.098.246.809.753.300;649000.0;3.0;71.5;1987.0
Wola ul. Marcina Kasprzaka;Warszawa;10.0;6814.0;52.227.298.450.000.000;20.953.014.207.365.500;360000.0;1.0;31.0;2021.0
Wawer Falenica;Warszawa;1.0;6642.0;521.620.483;212.106.772;629000.0;5.0;127.16;2020.0
Ochota;Warszawa;3.0;9397.0;52.212.225;209.726.299;328500.0;2.0;24.0;1970.0
Grunwald £azarz Marcina Kasprzaka;Poznañ;0.0;1022.0;523.886.627;168.908.544;534900.0;3.0;60.99;1960.0
Mistrzejowice ul. Piasta Ko³odzieja;Kraków;3.0;23342.0;500.986.433;200.132.206;409530.0;2.0;48.18;2022.0
Pr¹dnik Bia³y Dobrego Pasterza;Kraków;2.0;29450.0;5.008.854.595;1.995.841.912.264.680;610000.0;2.0;45.0;2019.0
Ochota ul. M¹twicka;Warszawa;1.0;13436.0;522.319.581;210.067.249;1250000.0;4.0;94.4;2019.0
Nowa Huta Czy¿yny Nowohucka 46;Kraków;2.0;30147.0;500.558.029;199.993.305;468966.0;3.0;49.89;2022.0
Pr¹dnik Czerwony Marka Eminowicza;Kraków;1.0;25162.0;500.868.616;199.696.987;1045000.0;4.0;200.0;1984.0
Wzgórza Krzes³awickie ul.Gustawa Morcinka;Kraków;1.0;26744.0;501.047.809;200.362.743;436779.0;4.0;69.33;2022.0
Bielany M³ociny Lekka;Warszawa;7.0;12535.0;522.861.129;209.272.115;745000.0;2.0;48.94;2020.0
Nowe Miasto Zawady Studzienna;Poznañ;3.0;1750.0;524.205.511;169.649.872;489207.0;2.0;64.15;2021.0
Bie¿anów-Prokocim Bie¿anów Opalowa;Kraków;0.0;19094.0;50.021.354;200.519.146;275855.0;2.0;44.5;2023.0
Grzegórzki ul. Fabryczna;Kraków;4.0;28851.0;50.058.444;199.702.351;1026066.0;3.0;83.42;2021.0
Wola ul. Józefa Bema;Warszawa;4.0;13910.0;522.287.779;20.959.569.831.877.100;849000.0;3.0;84.0;2003.0
Grunwald Górczyn Jakuba Krauthofera;Poznañ;0.0;4890.0;52.386.959;16.890.867.471.542.700;265900.0;1.0;35.51;2021.0
Mokotów ul. Jana III Sobieskiego;Warszawa;8.0;16426.0;521.904.607;210.467.831;393000.0;2.0;31.0;1980.0
Bielany ul. Rudzka 5;Warszawa;5.0;7636.0;5.227.851.165;209.734.368;676300.0;2.0;52.89;2021.0
Bronowice ul. Bronowicka;Kraków;3.0;20422.0;500.778.251;19.900.680.986.965.700;596646.0;2.0;46.98;2022.0
Wola;Warszawa;1.0;13539.0;522.362.379;209.547.815;898261.0;4.0;91.8;2021.0
Pr¹dnik Bia³y Azory ul. Piotra Stachiewicza;Kraków;0.0;25603.0;500.852.974;199.164.193;315000.0;2.0;37.0;1968.0
Je¿yce Winiary ul. œw. Leonarda;Poznañ;0.0;2747.0;524.333.637;16.911.643.474.999.900;390522.0;2.0;42.68;2020.0
£agiewniki-Borek Fa³êcki Borek Fa³êcki ¯ywiecka;Kraków;4.0;20893.0;50.014.117;199.179.187;399000.0;3.0;45.5;2020.0
Stare Miasto Centrum;Poznañ;3.0;1331.0;523.601.021;16.849.834.118.146.600;1108000.0;5.0;187.8;1904.0
Pr¹dnik Czerwony ul. Zenona Klemensiewicza;Kraków;1.0;26936.0;500.814.925;199.500.226;210000.0;1.0;13.3;2021.0
Praga-Po³udnie;Warszawa;4.0;6574.0;522.373.961;210.712.578;720000.0;3.0;69.0;1970.0
Wilanów Sarmacka;Warszawa;1.0;10078.0;521.656.517;210.767.961;1150000.0;3.0;93.2;2009.0
Œródmieœcie ul. Grzybowska;Warszawa;6.0;13327.0;52.235.745.800.000.000;20.993.720.703.559.500;1299000.0;2.0;71.6;2004.0
¯oliborz;Warszawa;0.0;13678.0;522.675.944;209.796.975;1150000.0;3.0;70.85;2016.0
Podgórze Pana Tadeusza;Kraków;0.0;22388.0;500.495.539;199.719.694;466000.0;3.0;48.8;1970.0
Dêbniki Ruczaj;Kraków;1.0;27723.0;500.230.156;199.083.637;397992.0;2.0;43.26;2021.0
Je¿yce Stanis³awa Szczepanowskiego;Poznañ;1.0;3942.0;524.188.529;168.976.818;538802.56;3.0;71.26;2021.0
Pr¹dnik Bia³y Szymona Zimorowicza;Kraków;4.0;21165.0;500.950.503;199.284.425;465000.0;3.0;49.02;2020.0
Bie¿anów-Prokocim Górników;Kraków;0.0;27099.0;50.021.319;199.953.253;460000.0;2.0;46.3;2014.0
Nowa Huta Osiedle Urocze;Kraków;3.0;23702.0;500.779.373;200.341.341;350000.0;1.0;36.9;1956.0
Stare Miasto Winogrady;Poznañ;0.0;124.0;524.348.647;169.383.531;455000.0;4.0;65.0;1980.0
Grzegórzki Olsza;Kraków;7.0;21886.0;500.789.773;199.605.879;330000.0;2.0;36.0;1980.0
Wilanów Miasteczo Wilanów ul. Sarmacka;Warszawa;3.0;12870.0;521.676.858;210.753.396;1550000.0;4.0;119.48;2008.0
Wola;Warszawa;1.0;13511.0;522.362.379;209.547.815;1199000.0;3.0;70.0;2013.0
Bie¿anów-Prokocim ul. Mariana Domaga³y;Kraków;4.0;28608.0;500.219.561;200.509.824;547470.0;4.0;71.1;2021.0
Podgórze Stare Podgórze ul. Nadwiœlañska;Kraków;6.0;19851.0;500.469.432;19.997.153.435.836.600;2300000.0;3.0;86.6;2016.0
Bielany al. Aleja W³adys³awa Reymonta;Warszawa;10.0;6351.0;522.743.857;209.376.719;599000.0;3.0;56.0;1975.0
Bie¿anów-Prokocim Z³ocieñ Z³ocieniowa;Kraków;1.0;19689.0;500.181.408;200.508.626;611000.0;3.0;64.0;2018.0
Œródmieœcie Œródmieœcie Po³udniowe ul. Wilcza;Warszawa;4.0;11494.0;5.222.519.855;21.017.925.153.884.500;1159000.0;2.0;62.0;1936.0
Nowa Huta Czy¿yny So³tysowska;Kraków;5.0;25836.0;500.605.887;200.240.353;495000.0;3.0;63.28;2021.0
Dêbniki gen. Antoniego Józefa Madaliñskiego;Kraków;3.0;18901.0;500.527.679;199.282.413;1574937.0;2.0;63.0;2019.0
Grunwald Górczyn ul. Romana Dmowskiego;Poznañ;3.0;5460.0;523.817.991;168.916.385;418900.0;2.0;59.79;2021.0
